"Tree Level 1","Country-Code","Country","Direction","Partner-Code","Partner","Unit","Footnotes","Sources",_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by partner","KZ","Kazakhstan","FDI inflow","HK","Hong Kong","in % of total","-","National Bank of Kazakhstan, wiiw",0.0465099,0.0979504,0.3096544,0.0017362,-0.008436,0.0186011,-0.0077402,0.0783068,0.0770625,0.0421762,0.2386881,0.4314088,1.7316909,4.167839,-13.1783697,-15.3038209,-35.9874223,10.9959136,-6.4980831
"FDI by partner","KZ","Kazakhstan","FDI inflow","HU","Hungary","EUR m","-","National Bank of Kazakhstan",0.9039137,0.7806365,-0.0457875,1.3471801,0.2177043,-1.8122464,2.0775355,-1.1950961,0.1903596,-0.3002944,20.5788402,-2.5527614,-4.2641079,0.4509358,-1.656907,17.1888786,-4.5321544,-23.5643579,-40.1425981
"FDI by partner","KZ","Kazakhstan","FDI inflow","HU","Hungary","in % of total","-","National Bank of Kazakhstan, wiiw",0.0487565,0.023333,-0.0028916,0.0269346,0.0026801,-0.018622,0.0218765,-0.0137394,0.0019061,-0.0027528,0.2648678,-0.0399557,-0.1165258,0.0058607,-0.0397108,0.5202477,-0.1544982,-0.730402,-1.4079645
"FDI by partner","KZ","Kazakhstan","FDI inflow","IS","Iceland","EUR m","-","National Bank of Kazakhstan",.,1.0904768,0.7663373,-1.6315936,-0.262268,0.2439432,.,.,.,-0.2481707,0.0308641,.,.,0.4681057,0.203573,-0.0118673,-0.0116117,-0.0359133,0.5309733
"FDI by partner","KZ","Kazakhstan","FDI inflow","IS","Iceland","in % of total","-","National Bank of Kazakhstan, wiiw",.,0.032594,0.0483962,-0.032621,-0.0032287,0.0025067,.,.,.,-0.002275,0.0003972,.,.,0.0060839,0.004879,-0.0003592,-0.0003958,-0.0011132,0.0186234
"FDI by partner","KZ","Kazakhstan","FDI inflow","IN","India","EUR m","-","National Bank of Kazakhstan",-0.1550832,0.7943178,0.8555024,12.1724212,-0.2374292,0.1773514,0.1699606,18.7352208,91.7820656,8.9178097,1.7675355,3.520583,7.0443026,25.487364,22.5417246,39.3128421,-2.6180025,-8.1409242,-1.933656
"FDI by partner","KZ","Kazakhstan","FDI inflow","IN","India","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0083651,0.0237419,0.0540272,0.2433672,-0.0029229,0.0018224,0.0017897,0.2153892,0.9190102,0.0817495,0.0227497,0.055104,0.1925005,0.3312538,0.5402538,1.1898633,-0.089246,-0.2523365,-0.0678212
"FDI by partner","KZ","Kazakhstan","FDI inflow","IR","Iran","EUR m","-","National Bank of Kazakhstan",-0.7249034,8.0832097,4.1546086,2.118363,4.8939639,-8.9912427,7.353486,10.2272211,-0.4252562,7.1650552,11.671154,4.4959305,-3.1130603,-0.9569961,-4.4768354,0.3534748,-5.5843574,3.795419,20.527023
"FDI by partner","KZ","Kazakhstan","FDI inflow","IR","Iran","in % of total","-","National Bank of Kazakhstan, wiiw",-0.0391008,0.2416045,0.2623743,0.0423531,0.060248,-0.0923909,0.0774325,0.1175771,-0.0042581,0.065682,0.150218,0.0703701,-0.085071,-0.0124379,-0.1072956,0.0106985,-0.1903671,0.117643,0.7199663
"FDI by partner","KZ","Kazakhstan","FDI inflow","IE","Ireland","EUR m","-","National Bank of Kazakhstan",-7.1497804,-0.0040239,-0.3486273,-0.0191202,0.0321443,-0.2419047,-0.5937865,0.4028837,0.0007183,-0.0482338,79.9711931,-1.501403,7.3645391,-0.5413038,2.5968831,-0.6111639,10.5068452,4.2184948,-5.4458586
