"Tree Level 1","Country-Code","Country","Direction","Classification","Digit","Industry/Product","Unit","Footnotes","Sources",_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CD  Coke and refined petroleum products","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.7293704,0.5990913,0.0558049,-57.4892742,15.1272648,-6.8613998,174.9439478,30.4167782,-128.6076933,-1.3860975,0.6236582,11.377202
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CE  Chemicals and chemical products","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-13.9232082,3.0838257,-8.5941764,14.4990828,-14.7213127,29.5524504,130.49609,79.3189722,111.7771043,79.2423713,39.9193818,153.020197
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CE  Chemicals and chemical products","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-1.3237783,0.2261209,-0.9528229,8.7610442,-4.5177116,-1.9602892,88.3071858,26.1620082,-99.8818255,10.2538577,8.9381425,9.4623142
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CF  Pharmaceuticals, medicinal chem. & botan. products","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,0.0188263,2.2060165,15.6059725,3.7999754,25.7382616,-3.1239394,15.8753818,-10.7322967,27.268692,23.8774511,29.3008627,33.3633962
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CF  Pharmaceuticals, medicinal chem. & botan. products","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.00179,0.1617557,1.7302098,2.2961282,7.8986191,0.2072188,10.7429295,-3.5398648,-24.3667677,3.0897105,6.5606048,2.0630933
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CG  Rubber, plastics, other non-metall. mineral products","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-18.9280025,12.1981001,92.0324497,35.1248891,57.3859926,-93.6886197,-25.3489023,118.5378202,94.6278576,-21.5378183,18.0691377,130.0025371
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CG  Rubber, plastics, other non-metall. mineral products","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-1.7996197,0.8944232,10.2034937,21.2241498,17.6107503,6.2146046,-17.1536958,39.0976754,-84.5575954,-2.7869651,4.0457673,8.0389705
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CH  Basic metals, fabricated met.prod., ex mach. & equip.","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,1068.5070151,1307.1426933,689.6906289,41.0229848,90.5954461,-1827.0013552,-247.6371501,-113.4971053,-494.1405728,534.3759869,127.7425665,891.8953607
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CH  Basic metals, fabricated met.prod., ex mach. & equip.","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,101.590553,95.8459702,76.464921,24.7880634,27.8021467,121.1896491,-167.5769736,-37.4350817,441.5543128,69.1475438,28.602178,55.1521585
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CI  Computer, electronic, optical products","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-5.0228676,8.5467873,4.7269137,-13.1519995,2.9724769,-11.8226833,5.3464996,14.4948918,6.2894444,-4.158667,3.4807925,-6.9816905
