Tree Level 1,Country-Code,Country,Direction,Classification,Digit,Industry/Product,Unit,Footnotes,Sources,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,"DG  Chemicals, chemical products and man-made fibres",EUR m,-,National Bank of Kazakhstan,.,.,.,.,11.2669191,.,.,.,-9.5198995,-0.0702791,0.1174764,0.1328926,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,"DG  Chemicals, chemical products and man-made fibres",in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,8.2769711,.,.,.,21.9485831,-0.1149668,0.0068315,0.0252959,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DH  Rubber and plastic products,EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,0.3068562,.,0.1314993,0.0475655,.,0.084342,-0.0308885,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DH  Rubber and plastic products,in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,0.4362473,.,0.5733034,-0.1096645,.,0.0049047,-0.0058796,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DI  Other non-metallic mineral products,EUR m,-,National Bank of Kazakhstan,.,.,.,.,0.0490916,4.6397949,4.078984,-2.3180396,.,.,3.0461019,-2.6628795,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DI  Other non-metallic mineral products,in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,0.036064,6.5962427,18.8915946,-10.1060609,.,.,0.1771385,-0.506875,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DJ  Basic metals and fabricated metal products,EUR m,-,National Bank of Kazakhstan,.,.,.,0.6788215,115.458558,53.6058581,-59.3061969,15.0603174,-44.3528107,39.1389902,1712.209711,468.791069,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DJ  Basic metals and fabricated metal products,in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,29.2143407,84.8188526,76.2096729,-274.6734556,65.6591393,102.2575239,64.0259497,99.569306,89.2336575,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DK  Machinery and equipment n.e.c.,EUR m,-,National Bank of Kazakhstan,.,.,.,.,.,.,.,0.2600763,.,.,.,.,.,.,.,.,.,.,.,.,.,.
FDI by activities,KZ,Kazakhstan,FDI outflow,NACE Rev. 1,NACE 2-letter - Manufacturing,DK  Machinery and equipment n.e.c.,in % of total manufacturing,-,"National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,1.1338663,.,.,.,.,.,.,.,.,.,.,.,.,.,.
